device_id	notification_id	prox
d143f2f107854051bfc9e2cbe8c913b5	17de10e4fb3947bfb1e43d22a0a69702	1
d143f2f107854051bfc9e2cbe8c913b5	50a6a165a85b4cc699af77fd6051872c	1
3ac8550c4587483290c57e5e98d6ee05	68a6e4dccf824d5ab1b38413c3c4584d	1
adf653615f6644e5a2feeabf5f7ac675	93a3770b4f7c4a658379be6c13351527	1
3ac8550c4587483290c57e5e98d6ee05	abdca5d1332f41ddbb6c231a3e72af6f	1
3ac8550c4587483290c57e5e98d6ee05	6f1a7a5f651b4e029077be3b0f8a3503	1
43fd6ac3ba544d0aa99bb50a266d1f76	10c7530d2784478f83f5d2f3ce687ccb	1
e79a7d3e6985433d82ade35e42d3f1ff	65f835d61a874092b3b2ca91c00b6f25	1
43fd6ac3ba544d0aa99bb50a266d1f76	d6a3cdaff4714f99b26248e167540139	0
adf5c3a65c8e4d0abc900fccf2b665fe	acb0ed4bc3dc4b40bd4069c8af6d4f65	1
adf653615f6644e5a2feeabf5f7ac675	a480c851e02b4527b21c01dccdbca5a4	1
3ac8550c4587483290c57e5e98d6ee05	793863a2342241fb9ebf6fb13d12bbb6	0
3ac8550c4587483290c57e5e98d6ee05	4741201cf3734337b201d5814ecc34ac	1
94f50e4b32c14cc287c6165e4681cd6b	76944217f96841c9ba4e936d39a324d0	0
3ac8550c4587483290c57e5e98d6ee05	bdeaa475e5cf4632bcffcf297b88c13c	1
29727154906d4b7bbda2f43a866876b6	d814e44848b14c23b126862221352536	0
d143f2f107854051bfc9e2cbe8c913b5	627c4ad9e3a6401aa5ddafd79727fceb	1
adf653615f6644e5a2feeabf5f7ac675	8baa3ad9fb6b4866a996fdc2d0cf6c76	1
6dbcd91158e248bea04dd5dd7c81e76e	e99d789bbb404e7e977b2a970dd5da53	1
6fcc5b3f284642e7b91d8c16df97167a	355d72874da1449b94ca063344f3cc64	1
db9a6313e6e84616b9be27054a2094b2	da702d19aa724901821053aa18b8c1a5	1
adf5c3a65c8e4d0abc900fccf2b665fe	4a9fdcb9b8c74dfcb254885cf09e7403	0
