device_id	notification_id	location
d143f2f107854051bfc9e2cbe8c913b5	ebcbfdaa8323495c92ed4bf0fcc62284	Home
3ac8550c4587483290c57e5e98d6ee05	28f692b796b84df588d385d120ffe897	Home
adf653615f6644e5a2feeabf5f7ac675	4fa3abf0a75e441cb0eab478d41817bb	Other
d143f2f107854051bfc9e2cbe8c913b5	a9a7da3a01544e349a0f4b97fa6342fc	Home
3ac8550c4587483290c57e5e98d6ee05	1c7a066457624332895687da9e9827fb	Home
adf653615f6644e5a2feeabf5f7ac675	28fc47ecf618431ab09304faaf764229	Work
d143f2f107854051bfc9e2cbe8c913b5	6ce8a4066abf42ab965881f73b87e205	Home
6fcc5b3f284642e7b91d8c16df97167a	57fd73b3f23a41e1bd79c5d08ea63b8f	Home
d143f2f107854051bfc9e2cbe8c913b5	719c7345bf3c4f47bd3fa6a7ddacfdf8	Work
3ac8550c4587483290c57e5e98d6ee05	b9f5bde07a654180b12f499d0e7b886b	Home
e79a7d3e6985433d82ade35e42d3f1ff	b0e11c0fa2164035948d322d502e5951	Home
db9a6313e6e84616b9be27054a2094b2	c3472d580df048be923e38082190baab	Work
3ac8550c4587483290c57e5e98d6ee05	0d20a143bd5a49a4afe7663a940312d5	Home
6fcc5b3f284642e7b91d8c16df97167a	3bfc85d05dac497e8a02acbeb466e64f	Home
6dbd5e5e6c6040938ed458705ece452e	9416f429ea844a29beb8bd8acd8a79f1	Home
6fcc5b3f284642e7b91d8c16df97167a	9fd6a87f56384574b450fa4fb06452e3	Home
6dbcd91158e248bea04dd5dd7c81e76e	465d8a3af7f44889b312fba4a50c9d82	Home
3ac8550c4587483290c57e5e98d6ee05	61c4a437149d46a7a19ed9971b521429	Work
d143f2f107854051bfc9e2cbe8c913b5	ebf9eaa075c84a54be636461555532dd	Home
adf5c3a65c8e4d0abc900fccf2b665fe	7575f1ce4f5c4976a83baa22606b342f	Other
d143f2f107854051bfc9e2cbe8c913b5	5fe7356615d2436bbcd5c40960f62c9c	Home
3ac8550c4587483290c57e5e98d6ee05	6a59deb0d18b412bb834a5ef82606078	Home
6dbcd91158e248bea04dd5dd7c81e76e	905589233d0648a8a00af397c54127af	Home
adf653615f6644e5a2feeabf5f7ac675	bca8c262decc4836902c85a5b45306c4	Other
6dbd5e5e6c6040938ed458705ece452e	40807ed5806748acac3e83444515be59	Home
